# Data from CRU TS v4.01 Observations
# https://crudata.uea.ac.uk/cru/data/hrg/
# Note: temperature is multiplied by 10 (ºC*10)
local year jan feb mar apr may jun jul aug sep oct nov dec
MADRID 1947 39 61 101 147 159 225 254 231 191 152 112 44
MADRID 1948 63 82 125 121 149 215 236 234 204 148 109 73
MADRID 1949 64 82 94 159 159 219 259 264 199 151 95 63
MADRID 1950 55 78 106 128 156 217 260 235 199 153 108 45
MADRID 1951 52 56 90 122 128 204 241 219 197 124 86 71
MADRID 1952 29 65 121 126 161 221 239 219 172 148 94 57
MADRID 1953 43 57 94 121 184 189 238 251 195 133 101 88
MADRID 1954 38 59 90 115 158 198 236 216 202 155 110 70
MADRID 1955 84 66 84 148 186 204 244 240 194 139 88 77
MADRID 1956 59 19 98 112 157 194 222 221 186 139 69 45
MADRID 1957 33 83 128 117 153 190 245 247 209 136 84 39
MADRID 1958 51 90 96 113 177 187 235 233 219 142 93 75
MADRID 1959 71 73 102 133 153 207 253 228 183 141 92 67
MADRID 1960 57 71 104 136 169 223 238 226 198 114 89 47
MADRID 1961 46 102 129 137 183 215 245 244 210 137 90 70
MADRID 1962 69 75 88 124 168 210 242 254 214 161 67 44
MADRID 1963 57 47 100 123 166 197 238 224 184 163 98 53
MADRID 1964 34 81 90 125 205 207 247 238 227 137 95 53
MADRID 1965 54 49 99 127 187 226 232 237 170 145 83 64
MADRID 1966 81 86 95 123 174 201 241 241 217 128 64 57
MADRID 1967 49 70 122 116 144 191 259 237 191 162 97 45
MADRID 1968 64 72 89 121 157 220 243 232 193 175 92 66
MADRID 1969 69 50 90 124 150 187 250 234 167 150 80 55
MADRID 1970 71 72 80 131 165 207 246 230 222 140 116 33
MADRID 1971 47 80 64 120 135 182 234 223 205 164 77 74
MADRID 1972 45 71 92 121 150 198 235 221 166 125 98 62
MADRID 1973 57 70 92 125 163 202 236 254 201 136 98 53
MADRID 1974 72 65 93 110 167 198 242 235 195 116 96 69
