# Species data from IUCN (http://www.iucnredlist.org/)
# Climate and altitude data from worldclim (http://worldclim.org/)
lon;lat;sp.rich;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tavg1;tavg2;tavg3;tavg4;tavg5;tavg6;tavg7;tavg8;tavg9;tavg10;tavg11;tavg12;altitude
87.5;72.5;14;28;24;26;21;17;30;36;42;34;29;28;29;-29.6027507781982;-29.1814994812012;-25.6347503662109;-19.0949993133545;-8.95800018310547;2.01075005531311;10.3082504272461;7.39625024795532;1.3364999294281;-11.8607501983643;-22.7537498474121;-26.5537509918213;79
92.5;72.5;13;19;17;22;19;18;30;39;39;33;29;23;23;-30.4947509765625;-29.8314990997314;-25.9012508392334;-18.8059997558594;-8.97999954223633;2.56574988365173;10.5305004119873;7.73825025558472;0.921500027179718;-12.4777498245239;-23.6817493438721;-27.2002506256104;60
97.5;72.5;13;13;14;21;21;17;26;38;41;32;27;19;18;-32.0467491149902;-31.1452503204346;-26.8727493286133;-18.6332511901855;-8.41974925994873;3.36925005912781;10.4637498855591;8.18575000762939;0.907249987125397;-12.6947498321533;-24.8057498931885;-28.8810005187988;60
102.5;72.5;16;11;12;18;19;16;25;35;38;30;28;18;17;-33.1725006103516;-31.6772499084473;-27.4482498168945;-18.4867496490479;-7.81699991226196;4.21775007247925;11.2585000991821;8.71424961090088;1.19924998283386;-12.8707494735718;-25.7992496490479;-29.7065010070801;17
107.5;72.5;18;10;9;11;15;17;28;35;36;25;19;14;12;-33.4427490234375;-32.5757484436035;-27.6580009460449;-18.8462505340576;-8.58275032043457;4.00400018692017;10.5757503509521;7.94125032424927;0.764249980449677;-12.4042501449585;-25.3107509613037;-28.5222492218018;94
112.5;72.5;16;9;8;10;12;15;27;34;31;21;17;12;9;-34.8347511291504;-33.1949996948242;-28.6295013427734;-19.4464988708496;-8.47550010681152;4.10400009155273;10.9460000991821;7.72825002670288;0.445500016212463;-13.7609996795654;-27.6857509613037;-31.4352493286133;62
117.5;72.5;17;8;8;11;10;12;21;28;26;22;19;10;8;-37.2202491760254;-34.7282485961914;-28.7374992370605;-19.4244995117188;-7.94675016403198;4.19299983978271;10.3889999389648;7.05025005340576;0.405499994754791;-14.2342500686646;-29.9827499389648;-34.4894981384277;38
122.5;72.5;16;12;11;11;12;16;24;33;32;30;27;13;15;-34.4022483825684;-32.5817489624023;-27.19700050354;-19.3942489624023;-7.21374988555908;3.78699994087219;9.79224967956543;6.01424980163574;0.0390000008046627;-13.2222499847412;-28.0939998626709;-31.9060001373291;114
127.5;72.5;17;20;18;12;14;17;29;45;47;30;23;20;26;-30.4712181091309;-29.5856094360352;-26.3070106506348;-19.1638374328613;-7.24760150909424;3.39003682136536;8.57232475280762;6.64428043365479;1.06199264526367;-11.0265684127808;-23.882287979126;-28.1254615783691;6
142.5;72.5;18;6;6;7;8;10;18;27;29;21;16;8;7;-33.4150009155273;-33.6619987487793;-29.6882495880127;-20.4637489318848;-8.11350059509277;1.98325002193451;6.40224981307983;4.38225030899048;-0.0700000002980232;-12.6715002059937;-25.8589992523193;-31.4667491912842;11
-177.5;67.5;15;34;24;19;18;16;26;48;54;46;35;40;32;-22.1422500610352;-23.1787490844727;-22.19700050354;-16.0295009613037;-3.85675001144409;6.14524984359741;10.1230001449585;7.64200019836426;2.14474987983704;-7.21700000762939;-14.4390001296997;-21.5777492523193;155
-162.5;67.5;23;14;11;9;11;10;14;37;50;39;23;16;14;-19.2712497711182;-16.8595008850098;-16.0799999237061;-9.76875019073486;0.828750014305115;9.38199996948242;12.0714998245239;9.63424968719482;4.44575023651123;-4.07399988174438;-11.5042495727539;-15.5677499771118;178
-157.5;67.5;27;12;14;12;11;8;23;45;56;30;19;14;14;-20.4527492523193;-17.7477493286133;-15.6180000305176;-8.9352502822876;0.817749977111816;11.0287504196167;13.0144996643066;9.79625034332275;3.97475004196167;-6.00750017166138;-13.8337497711182;-18.7662506103516;437
-152.5;67.5;30;19;15;14;11;14;39;52;67;35;25;21;20;-21.638500213623;-18.6604995727539;-16.9545001983643;-9.51599979400635;1.23224997520447;10.2357501983643;11.4114999771118;8.25;1.96124994754791;-7.96575021743774;-15.7232503890991;-19.9902496337891;844
-147.5;67.5;32;12;11;10;8;13;33;42;41;27;20;14;14;-22.8417491912842;-20.2075004577637;-18.3304996490479;-9.13274955749512;2.74850010871887;11.2755002975464;12.4895000457764;8.82649993896484;1.99325001239777;-9.02999973297119;-17.3910007476807;-20.6014995574951;812
-142.5;67.5;34;9;8;6;3;7;22;33;33;18;14;10;10;-28.1907501220703;-25.7234992980957;-20.2172508239746;-9.42700004577637;4.57324981689453;13.0402498245239;14.6029996871948;11.1062498092651;3.56800007820129;-8.35974979400635;-20.6422500610352;-25.1665000915527;396
-137.5;67.5;33;12;12;10;8;13;33;44;51;30;33;19;17;-29.0812492370605;-26.3455009460449;-22.2617492675781;-11.47350025177;2.37474989891052;12.0915002822876;14.1317501068115;10.7659997940063;3.33325004577637;-8.5620002746582;-22.0837497711182;-26.1957492828369;376
-132.5;67.5;28;14;12;8;8;13;23;35;38;25;27;18;16;-27.8075008392334;-25.6394996643066;-21.4692497253418;-9.75424957275391;2.76349997520447;13.56725025177;15.4137496948242;11.6762495040894;4.24550008773804;-7.24949979782104;-19.9927501678467;-25.3945007324219;153
-127.5;67.5;26;13;13;8;8;8;23;34;38;31;26;15;15;-27.6149997711182;-25.9322490692139;-21.9659996032715;-9.85525035858154;1.68725001811981;12.5472497940063;14.6382503509521;10.75475025177;3.52274990081787;-6.97174978256226;-19.5154991149902;-25.1592502593994;312
-122.5;67.5;23;10;10;13;9;14;19;34;42;33;30;17;12;-26.3772506713867;-25.4449996948242;-23.0412502288818;-11.5749998092651;-1.46375000476837;8.70699977874756;12.6719999313354;10.1362504959106;3.41275000572205;-6.62825012207031;-18.3997497558594;-23.1674995422363;353
-117.5;67.5;18;10;9;12;10;13;18;38;45;34;28;17;12;-28.1737499237061;-27.0485000610352;-23.2829990386963;-13.3547496795654;-3.40525007247925;7.63800001144409;12.0450000762939;9.21249961853027;2.23749995231628;-7.55124998092651;-19.1609992980957;-24.5382499694824;454
-112.5;67.5;19;6;6;6;8;10;19;29;34;25;23;10;7;-28.4405002593994;-28.1132507324219;-25.2542495727539;-16.8315010070801;-5.76424980163574;4.94150018692017;9.97725009918213;8.16425037384033;1.77474999427795;-7.7667498588562;-19.5069999694824;-25.69700050354;326
-107.5;67.5;18;5;5;6;9;11;16;26;32;23;22;8;5;-30.2637500762939;-30.13450050354;-26.82200050354;-17.9387493133545;-5.91575002670288;5.02549982070923;10.3167495727539;8.04549980163574;1.48025000095367;-8.56099987030029;-20.40625;-27.1012496948242;134
-102.5;67.5;17;4;4;5;6;8;16;24;31;22;17;7;5;-32.3245010375977;-32.2317504882812;-28.3147506713867;-19.0065002441406;-7.21425008773804;4.83825016021729;11.0994997024536;8.41975021362305;0.642000019550323;-9.97900009155273;-22.3409996032715;-28.8544998168945;79
-97.5;67.5;17;3;4;5;7;10;15;26;32;25;18;7;4;-33.5767517089844;-33.658748626709;-29.3074989318848;-20.005500793457;-8.47574996948242;3.13649988174438;9.78724956512451;7.49700021743774;0.380750000476837;-9.81350040435791;-22.4305000305176;-29.5289993286133;67
-92.5;67.5;16;7;7;9;16;15;23;36;46;34;28;14;9;-34.1137504577637;-33.9930000305176;-29.7409992218018;-20.378999710083;-9.63175010681152;1.34975004196167;8.20925045013428;6.34299993515015;-1.04299998283386;-10.8985004425049;-23.10325050354;-30.1674995422363;303
-87.5;67.5;1;9;7;9;15;18;21;33;48;34;28;18;12;-31.4148139953613;-31.0851860046387;-27.2222213745117;-17.8222217559814;-7.64444446563721;1.8629629611969;8.68518543243408;6;-0.0666666701436043;-8.92592620849609;-19.8592586517334;-26.4444446563721;22
-82.5;67.5;15;8;6;10;13;16;21;30;44;32;25;16;10;-31.6375007629395;-31.5652503967285;-27.5342502593994;-18.7137508392334;-8.3125;1.49074995517731;7.58424997329712;5.39300012588501;-0.133500009775162;-9.2507495880127;-19.9519996643066;-27.2137508392334;192
-72.5;67.5;1;6;6;9;17;21;17;38;51;32;33;20;8;-26.3985919952393;-26.6154937744141;-23.9859161376953;-15.4443664550781;-6.24154949188232;1.44366192817688;6.05492973327637;5.18521118164062;1.45845067501068;-5.66197204589844;-13.9021129608154;-22.3830986022949;3
-67.5;67.5;10;15;17;17;22;30;35;50;60;49;48;35;20;-27.4554996490479;-28.4257507324219;-25.2862491607666;-18.5310001373291;-9.08100032806396;-1.69000005722046;2.23674988746643;1.04900002479553;-3.37975001335144;-10.513500213623;-19.5804996490479;-25.8417491912842;874
-52.5;67.5;6;21;19;18;22;24;36;47;59;51;38;38;28;-16.3259696960449;-17.1438808441162;-15.778507232666;-9.05462646484375;-1.0925372838974;5.51164197921753;8.03104496002197;5.56298494338989;1.5605970621109;-4.30985069274902;-10.2098503112793;-14.3474626541138;357
-47.5;67.5;2;40;31;24;22;27;38;56;66;46;32;42;39;-20.9365005493164;-21.1412506103516;-20.0895004272461;-15.5830001831055;-8.50349998474121;-2.32450008392334;2.05224990844727;0.200000002980232;-6.72774982452393;-12.2357501983643;-16.8372497558594;-19.0782489776611;1547
-42.5;67.5;1;119;103;79;51;55;65;75;100;81;69;98;108;-28.5547504425049;-28.1007499694824;-26.8139991760254;-22.5599994659424;-14.9112501144409;-8.61000061035156;-5.81825017929077;-8.05574989318848;-13.2962503433228;-19.9277496337891;-25.2377490997314;-27.0084991455078;2563
-37.5;67.5;2;171;150;113;71;71;78;76;119;100;90;131;147;-26.5072498321533;-25.3894996643066;-25.7245006561279;-22.6972503662109;-15.5930004119873;-10.102499961853;-7.21250009536743;-8.78450012207031;-13.7737503051758;-19.5539989471436;-23.6054992675781;-24.1474990844727;2799
17.5;67.5;24;62;50;45;41;41;64;101;82;64;60;52;58;-12.6957502365112;-11.8135004043579;-10.6307497024536;-6.99174976348877;-0.912500023841858;4.66925001144409;8.22350025177002;5.88350009918213;2.04250001907349;-3.44149994850159;-9.66674995422363;-12.3867502212524;1231
22.5;67.5;27;33;26;30;27;36;51;76;71;50;46;41;33;-12.2344999313354;-12.9517498016357;-7.08550024032593;-0.867500007152557;5.44250011444092;11.8267498016357;14.392749786377;11.8592500686646;6.13775014877319;-0.526000022888184;-7.07775020599365;-10.3655004501343;212
27.5;67.5;31;33;29;28;27;35;58;67;59;51;50;38;32;-14.1614999771118;-13.3824996948242;-7.4685001373291;-2.28474998474121;4.59674978256226;11.3035001754761;13.9595003128052;11.012749671936;5.52699995040894;-0.851499974727631;-7.96475028991699;-12.5124998092651;208
32.5;67.5;27;33;24;27;26;37;52;68;62;56;51;43;34;-13.3977499008179;-12.3392496109009;-7.58650016784668;-2.15949988365173;3.99600005149841;9.92424964904785;13.6400003433228;11.0807495117188;6.55224990844727;0.437000006437302;-5.92875003814697;-10.4802503585815;151
37.5;67.5;21;29;24;28;27;35;50;58;64;50;51;42;33;-14.4292497634888;-14.2480001449585;-9.01124954223633;-4.52600002288818;1.93124997615814;9.58174991607666;12.8282499313354;10.0509996414185;5.81174993515015;-0.636500000953674;-7.76349973678589;-11.8184995651245;179
52.5;67.5;25;25;21;21;27;35;42;52;59;54;47;35;28;-18.2969989776611;-17.8009986877441;-11.2667503356934;-6.97949981689453;0.726750016212463;9.74199962615967;14.0097503662109;10.362250328064;5.8117504119873;-1.87199997901917;-10.2200002670288;-14.5959997177124;31
57.5;67.5;23;31;25;23;21;30;38;52;56;51;45;35;35;-18.7145004272461;-19.0184993743896;-13.2382497787476;-9.16800022125244;-0.810500025749207;8.13899993896484;13.4449996948242;9.91174983978271;5.70199966430664;-3.1582498550415;-11.62975025177;-15.3695001602173;75
62.5;67.5;24;36;31;31;27;37;49;60;64;57;54;41;41;-20.8155002593994;-20.2889995574951;-13.3369998931885;-9.70174980163574;-2.07649993896484;7.38850021362305;13.3289995193481;9.62674999237061;4.78700017929077;-4.36225032806396;-13.1350002288818;-17.3299999237061;107
67.5;67.5;22;23;20;18;24;35;42;53;62;45;42;25;26;-22.2049999237061;-21.2355003356934;-14.9340000152588;-11.9667501449585;-3.1967499256134;6.2810001373291;12.5635004043579;9.55224990844727;4.67400026321411;-4.74399995803833;-14.1604995727539;-18.5117492675781;104
72.5;67.5;17;23;18;20;21;26;34;36;52;40;34;24;27;-24.7999992370605;-24.5;-18.2999992370605;-12.4499998092651;-4.5;3.95000004768372;12.75;10.3500003814697;4.69999980926514;-5.59999990463257;-15.5500001907349;-20.7000007629395;2
77.5;67.5;21;24;20;20;20;25;40;47;61;44;39;26;27;-26.6470279693604;-26.0682163238525;-19.6795864105225;-13.3604650497437;-4.39560747146606;5.95813941955566;14.0167961120605;11.2273902893066;4.53488349914551;-6.83591747283936;-18.3966407775879;-23.2953491210938;1
82.5;67.5;20;27;23;22;25;28;48;47;60;51;53;38;35;-27.5380001068115;-25.8122501373291;-19.6895008087158;-13.1564998626709;-3.96350002288818;7.91700029373169;14.7969999313354;11.4429998397827;4.53625011444092;-7.75;-18.869499206543;-24.0240001678467;51
