Species	Lat	Long
Lacerta_viridis	41.120033	26.236679
Lacerta_viridis	47.019991	31.949269
Lacerta_viridis	48.417047	15.506487
Lacerta_viridis	46.570448	13.694241
Lacerta_viridis	48.933496	17.284591
Lacerta_viridis	47.939787	20.196834
Lacerta_viridis	48.180771	7.486552
Lacerta_viridis	50.117503	14.40005
Lacerta_viridis	41.582615	44.814659
Lacerta_viridis	47.706375	19.231825
Lacerta_viridis	48.929611	17.275333
Lacerta_viridis	50.117421	14.403698
Lacerta_viridis	45.236797	26.545821
Lacerta_viridis	48.180771	7.486552
Lacerta_viridis	48.928698	17.274538
Lacerta_viridis	47.019991	31.949269
Lacerta_viridis	40.991085	24.742714
Lacerta_viridis	50.116772	14.404732
Lacerta_viridis	46.676533	14.859266
Lacerta_viridis	40.580973	21.415135
Lacerta_viridis	47.019991	31.949269
Lacerta_viridis	48.397888	15.52182
Lacerta_viridis	50.116764	14.404669
Lacerta_viridis	41.369477	19.908066
Lacerta_viridis	50.118038	14.402539
Lacerta_viridis	41.028622	24.631575
Lacerta_viridis	48.328249	14.060032
Lacerta_viridis	48.929798	17.275424
Lacerta_viridis	50.116846	14.404983
Lacerta_viridis	39.173664	25.878988
Lacerta_viridis	50.118118	14.402549
Lacerta_viridis	48.180771	7.486552
Lacerta_viridis	40.581998	21.414502
Lacerta_viridis	50.116829	14.404949
Lacerta_viridis	50.116855	14.40496
Lacerta_viridis	46.924672	17.86553
Lacerta_viridis	43.276498	22.015966
Lacerta_viridis	48.437379	16.615593
Lacerta_viridis	43.265455	22.039212
Timon_lepidus	42.346106	-8.826312
Timon_lepidus	36.721397	-5.300549
Timon_lepidus	40.393981	-2.040402
Timon_lepidus	38.662348	-9.023583
Timon_lepidus	41.353379	-8.708324
Timon_lepidus	41.514753	0.641699
Timon_lepidus	42.855068	-8.444635
Timon_lepidus	40.415675	-5.005706
Timon_lepidus	42.398368	1.329509
Timon_lepidus	40.522288	-5.027021
Timon_lepidus	42.17869	-7.285812
Timon_lepidus	39.854542	-5.959911
Timon_lepidus	41.554682	-8.728717
Timon_lepidus	36.856988	-4.56935
Timon_lepidus	40.611427	-3.880552
Timon_lepidus	36.068638	-5.405122
Timon_lepidus	42.251744	-8.969537
Timon_lepidus	40.711951	-3.98198
Timon_lepidus	38.007097	-4.158536
Timon_lepidus	40.536659	-3.716987
Timon_lepidus	43.265024	6.555848
Timon_lepidus	37.80511	-2.896178
Timon_lepidus	39.90297	-6.078007
Timon_lepidus	36.17195	-5.654691
Timon_lepidus	40.536221	-3.768594
Timon_lepidus	40.455197	-3.745936
Timon_lepidus	39.932409	-6.001703
Timon_lepidus	43.350962	6.538118
Timon_lepidus	42.225798	-8.608065
Timon_lepidus	41.938819	-8.392575
Timon_lepidus	36.100281	-5.733714
Timon_lepidus	40.817556	-3.848313
Timon_lepidus	41.091012	-8.477155
Timon_lepidus	40.753908	-4.775976
Timon_lepidus	42.548286	8.743516
Timon_lepidus	39.994895	-5.978795
Timon_lepidus	41.928546	-6.80707
Timon_lepidus	41.808816	-8.247377
Timon_nevadensis	36.970039	-3.362561
Timon_nevadensis	36.834721	-2.622222
Timon_nevadensis	36.793395	-3.871562
Timon_nevadensis	38.169637	-0.606795
Timon_nevadensis	38.173815	-1.160179
Timon_pater	36.573508	5.896422
Timon_pater	36.707909	5.661107
Timon_pater	36.573487	5.893307
Timon_pater	36.58976	5.958315
Timon_pater	36.56216	5.879767
Timon_pater	36.566363	5.894735
Timon_pater	36.749772	6.022589
Timon_pater	36.346514	2.913267
Timon_pater	36.786945	6.088056
Timon_pater	36.412318	6.670785
Timon_pater	36.572672	5.896108
Timon_pater	36.451476	7.418904
Timon_tangitanus	33.569872	-5.227029
Timon_tangitanus	33.081344	-4.987235
