CODE,SP,SEX,MAXBITE,MAXRUN,MAXCLIMB,SVL,TRL,HL,PL,HW,HH,MO,FFL,HFL
29,PMUR,M,3.3915,136.414525,154.774175,57.6,32.8,19.9,14.2,8,5.2,10.8,21.1,28.3
38,PMUR,M,3.0685,153.691975,150.362575,52.9,27.1,19,12.7,7.4,5.9,10.9,17.1,27.1
40,PMUR,M,3.154,188.8611,158.905225,60.8,29.7,22.9,15,8.6,6.6,11.8,19.3,28.4
41,PMUR,M,4.0375,238.3602,151.86785,57.4,31.4,21.2,14.4,8.3,6.3,12.2,17.1,23.8
43,PMUR,M,1.1495,149.174,154.241925,48.1,23.3,16.6,11.4,5.6,4.6,9.1,16.3,23.5
69,PMUR,M,2.489,224.9468,204.047825,54.9,25,19.6,13.5,7.5,6.1,10.9,18.2,26.4
77,PMUR,M,3.477,130.767575,140.5265,61.7,33.2,20.9,14.3,8.4,6.3,12.5,18.8,27.4
78,PMUR,M,3.2965,197.1224,144.078625,58.9,27.8,19.9,14.3,8.1,5.9,12.1,18.2,28.1
79,PMUR,M,3.2395,160.157225,138.272675,57.4,29,21.2,14,7.2,5.9,11.4,17.9,28
681,PMUR,M,NA,149.583625,171.988875,59.3,30.2,21.3,14.7,9,5.9,11.9,19.5,30.2
I1,PMUR,M,2.5365,166.37305,107.18805,59.6,32.7,22.1,14.5,8.4,6,12.9,17.2,27.3
I2,PMUR,M,2.0425,148.064325,177.37235,56.2,28,19.6,13.4,7.6,5.9,11.5,17.4,25.4
I3,PMUR,M,3.2395,173.403775,127.37705,55.8,27.1,21.8,14.4,8,5.4,11.6,18.7,27.9
I4,PMUR,M,1.3965,172.5051,181.544825,49.2,25.3,18.6,13.2,6.5,5.2,10.4,16.2,25.3
J10,PMUR,M,4.104,196.500975,142.577925,60.2,29.9,21.1,14.5,7.9,6.3,12.8,18.4,28.6
J8,PMUR,M,2.964,158.736225,162.13065,59.7,31,21.3,14.4,8.3,6,12.2,21.7,28.9
J9,PMUR,M,2.2325,175.9793,173.407375,53.9,30.7,19.7,13.2,7.5,5.6,11.6,17.3,29.4
K1,PMUR,M,3.268,164.182525,164.3033,52,28.2,25.1,14,8.3,5.8,11,17,26.9
